id,title,description,release_year,runtime,first_genre,second_genre,country,first_keyword,second_keyword,third_keyword,my_rating
tm881162,Athlete A,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts.,2020,104,documentation,crime,US,Follow,Indianapolis,Star,7.652357010003147
tm319139,Saaho,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",2019,171,thriller,action,IN,Saaho,black,box,5.297413251964775
tm461159,Trouble,A pampered dog named Trouble must learn to live in the real world while trying to escape from his former owner's greedy children and must learn how to survive on the big-city streets.,2019,88,action,family,CA,Trouble,learn,streets,6.556499345649308
tm305433,Rocko's Modern Life: Static Cling,"After 20 years in space, Rocko returns to a technologically advanced O-Town and makes it his mission to get his favorite show back on the air.",2019,45,animation,comedy,US,Rocko,Life,Static,6.609103571141067
tm980097,Holiday on Mars,"We are in 2030, and on vacation we go to Mars!  Having made his wife and son Giulio lose his tracks for years, Fabio (Christian De Sica) is about to marry the wealthy Bea on Mars. But what could happen if during an excursion into space, something goes wrong and Giulio suddenly becomes a sprightly old man (Massimo Boldi)? Between hilarious unexpected events and amusing misunderstandings, Fabio will find himself dealing with a seventy-year-old son and a marriage that is in danger of jumping ...",2020,93,scifi,comedy,IT,Mars,Fabio,Giulio,3.342781864289487
tm485801,So My Grandma's a Lesbian!,A promising young lawyer sees her plans to wed into an important and ultraconservative family in danger when her grandma decides to marry her girl friend.,2019,94,comedy,romance,ES,Lesbian,Grandma,friend,5.1578403819123215
tm978401,Mosul,"When ISIS took their homes, families and city, one group of men fought to take it all back. Based on true events, this is the story of the Nineveh SWAT team, a renegade police unit who waged a guerrilla operation against ISIS in a desperate struggle to save their home city of Mosul.",2019,86,drama,action,US,ISIS,Mosul,families,6.7
tm835869,Jarhead: Law of Return,"Major Ronan Jackson, an accomplished fighter pilot for the Israel Defense Forces and son of a U.S. Senator, is shot down while flying through Syrian airspace. After miraculously surviving the crash, Jackson is taken captive by a group of Hezbollah militiamen. A squad of elite soldiers, led by Gunnery Sergeant Dave Torres, risk their own lives in the hopes of saving an ally they've never met.",2019,103,war,no_second-genre,IL,Senator,Law,Return,6.207384098114187
tm836662,Go!,"Jack is a charismatic larrikin who has just discovered the one thing he's really good at — go-kart racing. With the support of his mentor, Patrick, an old race car driver with a secret past, and his best mates Colin and Mandy, Jack must learn to control his recklessness if he is to defeat the best drivers in Australia, including the ruthless champion Dean, and win the National title.",2020,102,family,sport,AU,Jack,Patrick,Mandy,6.5879977670312995
tm457856,ReMastered: The Two Killings of Sam Cooke,"This investigation examines the mysterious shooting of soul icon Sam Cooke, whose death silenced one of the most vital voices in the civil rights movement.",2019,74,documentation,music,unknown_country,Sam,Cooke,ReMastered,7.016071723056373
tm464435,Grass Is Greener,"Weed. Marijuana. Grass. Pot. Whatever you prefer to call it, America’s relationship with cannabis is a complicated one. In his directorial debut, hip hop pioneer Fab 5 Freddy presents an unparalleled look at the racially biased history of the war on marijuana. A range of celebrities and experts discuss the plant’s influence on music and popular culture, and the devastating impact its criminalization has had on Black and Latino communities. As more and more states join the push to legalize marijuana, this documentary dives deep into the glaring racial disparities in the growing cannabis market.",2019,97,documentation,no_second-genre,US,Weed,Greener,Grass,6.963930279935933
tm823488,David Foster: Off the Record,A documentary about Canadian music icon David Foster.,2019,98,documentation,no_second-genre,CA,Foster,David,Record,7.0
tm816992,Double World,"Seeing the neighboring country become more and more powerful, a warlord organizes a competition to reveal the best warriors. A young man is eager to bring honour to his clan.",2020,110,fantasy,action,CN,World,Double,powerful,6.568024597265022
tm854278,Rogue City,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",2020,116,crime,thriller,FR,City,Caught,Marseille,5.8629999999999995
